2017-10-29 23:18:22
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    0.021|    0.002|   -0.066|   -0.007|   -0.183|    0.000|   -0.061|   -3.867|   -0.137|   -0.132|
    0.042|    0.001|   -0.068|   -0.005|   -2.562|   -2.562|    1.160|   -3.873|   -0.137|   -0.132|
    0.063|    0.003|   -0.067|   -0.010|   -0.122|    0.061|    0.000|   -3.879|   -0.137|   -0.132|
    0.084|    0.001|   -0.066|   -0.009|   -0.305|   -0.061|    0.000|   -3.879|   -0.137|   -0.132|
    0.105|    0.002|   -0.067|   -0.006|   -0.244|    0.000|    0.000|   -3.883|   -0.132|   -0.132|
    0.126|    0.001|   -0.069|   -0.005|   -0.122|   -0.061|    0.000|   -3.895|   -0.137|   -0.132|
    0.147|   -0.225|   -0.025|    0.757|   -0.122|   -0.122|    0.000|   32.812|   14.203|   -0.330|
    0.168|    0.004|   -0.069|   -0.004|   -0.061|   -0.061|    0.061|   -3.900|   -0.137|   -0.132|
    0.189|    0.004|   -0.069|   -0.004|    0.061|   -0.061|    0.061|   -3.900|   -0.137|   -0.132|
    0.210|   -0.213|   -0.042|   -0.002|    0.061|    0.000|    0.000|   -3.895|   -0.137|   -0.132|
    0.231|   -0.002|   -0.065|   -0.002|    0.061|    0.061|    0.000|   -3.895|   -0.132|   -0.132|
    0.252|    0.000|   -0.063|   -0.007|    0.122|    0.061|    0.000|   -0.137|   -0.231|   -0.011|
    0.273|    0.000|   -0.068|   -0.006|    0.061|   -0.061|    0.000|   -3.889|   -0.132|   -0.132|
    0.294|    0.001|   -0.069|   -0.006|    0.000|    0.000|    0.000|   -3.889|   -0.126|   -0.132|
    0.315|    0.003|   -0.069|   -0.006|   -0.061|    0.000|    0.000|   40.812|   12.719|    3.279|
    0.336|    0.004|   -0.068|   -0.004|    0.000|   -0.061|    0.000|   -3.889|   -0.126|   -0.132|
    0.357|    0.004|   -0.068|   -0.004|    0.000|   -0.061|    0.000|   -3.889|   -0.126|   -0.132|
    0.378|    0.005|   -0.068|   -0.006|    0.000|   -0.061|    0.061|   -3.889|   -0.132|   -0.132|
    0.399|    0.003|   -0.070|   -0.006|    0.061|   -0.061|    0.061|   -3.895|   -0.137|   -0.132|
    0.420|    0.002|   -0.068|   -0.005|    0.061|    0.000|    0.000|   -3.895|   -0.137|   -0.132|
    0.441|    0.000|   -0.066|   -0.007|  257.500|    4.027|   -1.770|   -3.895|   -0.137|   -0.132|
    0.462|    0.003|   -0.069|   -0.006|   -0.061|   -0.061|    0.061|   -3.895|   -0.132|   -0.132|
    0.483|    0.011|   -0.108|   -0.045|    0.000|    0.000|    0.061|   -3.895|   -0.132|   -0.132|
    0.504|   -0.022|   -0.017|   -0.025|   -7.324|    3.234|    6.715|  118.188|   -0.236|   -0.159|
    0.525|   -0.043|   -0.040|   -0.746|    3.539|   -3.723|    2.625|   -3.791|   -0.209|  -28.062|
    0.546|   -0.047|   -0.096|    1.018|    4.273|   -1.893|   -1.525|   -3.768|   -0.253|  -28.078|
    0.568|   -0.120|   -0.066|    1.034|   -5.922|   -2.074|  -13.609|   -4.215|   -0.582|   -0.258|
    0.589|   -0.094|   -0.033|   -0.055|   -6.043|   -2.990|   -5.434|   -5.180|   -1.252|   -0.599|
    0.610|    0.011|   -0.122|   -0.006|   -3.662|   -7.812|   -0.122|   -7.027|   -2.631|  -28.891|
    0.631|    0.260|   -0.121|   -0.018|   -3.602|   -5.555|   -4.578|   -0.319|   -0.181|  -29.203|
    0.652|    0.137|   -0.069|   -0.043|   19.844|   -5.309|   -2.562|   -6.812|   -2.594|   -0.176|
    0.673|    0.173|   -0.075|   -0.010|   -1.648|   -1.343|   -1.343|   -6.473|   -2.389|   -0.511|
    0.694|    0.125|   -0.116|   -0.056|   -1.770|   -6.043|   -6.469|   -5.137|   -0.286|  -30.828|
    0.715|   -0.028|   -0.079|   -0.046|   -0.610|   -7.020|   -1.465|   -3.740|   -0.912|  -31.656|
    0.736|   -0.003|   -0.723|    0.401|   -7.750|  -74.875|  -14.711|   -0.439|   -0.994|  -32.281|
    0.757|    0.009|    0.034|   -0.005|   -6.957|   -1.831|   47.000|   -2.334|   -2.445|  -31.844|
    0.778|   -0.029|   -0.028|    1.048|   -2.869|    2.074|   17.938|   -0.374|   -2.549|   -0.549|
    0.799|   -0.035|    0.032|    1.175|   -3.967|  -28.016|   33.438|   -0.450|   -0.264|  -30.484|
    0.820|   -0.044|   -0.004|    1.389|   -7.570|  -73.562|   -5.371|   -0.005|   -0.247|  -29.406|
    0.841|   -0.083|   -0.116|    1.263|   -1.160|  -88.438|   49.625|   -0.187|   -0.472|   -0.165|
    0.862|    0.387|   -0.104|   -0.006|   -7.387|   -6.043|   -6.285|    1.604|   -0.187|  -27.891|
    0.883|    0.432|   -0.038|    1.518|  142.250|  -46.094|   -7.812|   -0.214|   -0.582|    3.264|
    0.904|   -0.056|   -0.021|   -0.043|  177.250|   -4.332|  -92.375|    7.648|   -0.434|   -0.472|
    0.925|    0.305|    0.267|    1.547|   -2.074|   -3.723| -106.312|   -0.269|   -9.406|   -0.082|
    0.946|   -0.057|   -0.117|   -0.021|  284.750|  -10.195| -105.250|   14.227|   -9.836|  -33.219|
    0.967|   -0.057|   -0.117|   -0.021|  284.750|  -10.195| -105.250|   14.227|   -9.836|  -33.219|
    0.988|   -0.057|   -0.117|   -0.021|  284.750|  -10.195| -105.250|   14.227|   -9.836|  -33.219|
    1.009|   -0.057|   -0.117|   -0.021|  284.750|  -10.195| -105.250|   14.227|   -9.836|  -33.219|
    1.030|   -0.100|   -0.034|   -0.033|   -0.488|  -43.281|  -41.000|   24.250|   -9.656|  -36.031|
    1.051|   -0.582|    0.054|    0.310|   -3.539|   -3.357|  -29.234|   -0.621|   -0.209|   -0.467|
    1.072|   -0.980|   -0.015|    0.281|   -7.078|  -71.375|   -0.610|   -0.566|   -0.044|   -0.242|
    1.093|   -0.002|   -0.052|    0.126|  205.500|   -3.297|   -1.893|   48.062|  -15.188|   -0.181|
    1.114|   -0.054|   -0.024|    0.290|   -1.343|   -1.465|   -4.090|   -0.621|  -22.094|  -36.188|
    1.135|   -0.020|    0.646|   -0.046|   -2.625|   -0.671|   -1.465|   56.625|   -0.379|  -34.906|
    1.156|   -0.033|    0.172|    0.041|   -1.160|   -3.539|   -2.502|   -0.242|   -0.588|   -0.071|
    1.177|   -0.033|    0.046|   -0.313|   -7.078|  -87.438|   -7.691|   -0.396|   -0.038|  -37.875|
    1.198|    1.633|   -0.092|   -0.034|   -7.078|   -6.469|  -26.859|  -49.188|  -25.125|   -0.489|
