2017-10-29 23:18:22
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    0.021|   -0.215|   -0.042|   -0.013|   -2.074|   -3.113|    2.014|   32.969|   14.234|   -0.341|
    0.042|   -0.210|   -0.046|   -0.024|   -2.562|   -2.562|    1.160|   32.938|   14.203|   -0.346|
    0.063|   -0.210|   -0.046|   -0.024|   -2.562|   -2.562|    1.160|   32.938|   14.203|   -0.346|
    0.084|   -0.205|   -0.045|   -0.034|   -3.234|   -1.343|    0.366|   -3.879|   -0.137|   -0.132|
    0.105|   -0.205|   -0.045|   -0.034|   -3.234|   -1.343|    0.366|   -3.879|   -0.137|   -0.132|
    0.126|   -0.201|   -0.043|   -0.030|   -3.051|    0.183|    0.061|   32.906|   14.188|   -0.352|
    0.147|   -0.225|   -0.025|    0.757|   -0.305|    2.502|   -0.183|   32.812|   14.203|   -0.330|
    0.168|   -0.228|   -0.029|    0.775|   -1.343|    0.916|    1.831|   32.781|   14.250|   -0.258|
    0.189|   -0.240|   -0.018|    0.775|   -2.562|    0.244|    0.977|   32.719|   14.234|   -0.231|
    0.210|   -0.210|   -0.042|    0.765|   -3.234|   -0.183|    1.037|   32.438|   -0.055|   -0.093|

